group, group_iteration,commit-tag,NUM_OPERATIONS,NUM_DATA_ENTRIES,MAX_VAL,N_THREADS,time-elapsed
init_test,0,4e3ff6c83f73e43b44ebd29a1069233431e90faa,1000000000,1000000,200,8,846.61
lazy_execute,0,2b6a8cb54fd11c1b2415259644997a1143f18f90,1000000000,1000000,200,8,851.10
